STREAM,YEAR,FENCE_COUNT,PEAK_VISUAL,STREAM_YR
COLDSTREAM,2019,38219,13150,COLDSTREAM_2019
COLDSTREAM,2020,10102,3932,COLDSTREAM_2020
MIDDLE_VERNON,2011,8200,2442,MIDDLE_VERNON_2011
MIDDLE_VERNON,2013,3000,1287,MIDDLE_VERNON_2013
MIDDLE_VERNON,2014,8879,3230,MIDDLE_VERNON_2014
MIDDLE_VERNON,2015,21330,9422,MIDDLE_VERNON_2015
MIDDLE_VERNON,2016,35945,13532,MIDDLE_VERNON_2016
MIDDLE_VERNON,2017,33166,11590,MIDDLE_VERNON_2017
PENTICTON,2015,3429,963,PENTICTON_2015
PENTICTON,2018,5060,1381,PENTICTON_2018
PENTICTON,2019,6845,2074,PENTICTON_2019
REDFISH,2020,2670,1124,REDFISH_2020
COLDSTREAM,2021,13058,4423,COLDSTREAM_2021
COLDSTREAM,2022,11063,3592,COLDSTREAM_2022
