SPECIES,STREAM,YEAR,PEAK_COUNT,TAUC,GAUC,FENCE_COUNT
KOKANEE,COLDSTREAM,2019,13150,194302,196737.5416,38219
KOKANEE,COLDSTREAM,2020,3932,56840,59040.08294,10102
KOKANEE,COLDSTREAM,2021,4423,95527,90486.01,13058
KOKANEE,COLDSTREAM,2022,3592,65971,64395.08,11063
KOKANEE,MIDDLE_VERNON,2011,2442,34176,35041.56468,8200
KOKANEE,MIDDLE_VERNON,2013,1287,19684.5,20122.65751,3000
KOKANEE,MIDDLE_VERNON,2014,3230,50007,50294.35718,8879
KOKANEE,MIDDLE_VERNON,2015,9422,132767.5,131946.9751,21330
KOKANEE,MIDDLE_VERNON,2016,13532,185189,188989.2546,35945
KOKANEE,MIDDLE_VERNON,2017,11590,142361.5,143960.8755,33166
KOKANEE,PENTICTON,2015,963,13654.5,14245.44022,3429
KOKANEE,PENTICTON,2018,1381,22608,22727.20688,5060
KOKANEE,PENTICTON,2019,2074,29525.5,30278.74518,6845
KOKANEE,REDFISH,2020,1124,13122.5,13546.74746,2670
PINK,CATHEAD,1990,2100,58317.105,57654.135,7971
PINK,CATHEAD,1991,1500,23003.706,22784.52,9630
PINK,CHENEGA,1991,7300,140730.5016,142637.5548,49769
PINK,COUNTESS,1991,5400,61168.4328,62128.2672,15028
PINK,HAWKINS,1991,12300,236768.9688,243273.576,40433
PINK,HAYDEN,1991,5100,73950.084,72332.8515,18372
PINK,HERRING,1990,2700,43914.4416,151412.7024,4927
PINK,HERRING,1991,4500,72268.7224,76213.1202,13022
PINK,IRISH,1990,24500,496637.0853,483016.9801,44900
PINK,IRISH,1991,17000,397731.744,351955.296,95034
PINK,LOOMIS,1991,3000,51819.0736,67711.1904,20315
